"date","event","arena","city","result","result_type","ref1","ref1_score","ref2","ref2_score","ref3","ref3_score"
"June 09, 2018","UFC 225: Whittaker vs. Romero 2","United Center","Chicago, Illinois, USA","Gadelha def. Esparza","Split","BELL","29 - 28","CALDWELL","28 - 29","PUCCILLO","29 - 28"
"June 09, 2018","UFC 225: Whittaker vs. Romero 2","United Center","Chicago, Illinois, USA","Bektic def. Lamas","Split","D'AMATO","28 - 29","LEE","29 - 28","MASON","30 - 27"
"June 09, 2018","UFC 225: Whittaker vs. Romero 2","United Center","Chicago, Illinois, USA","Pettis def. Benavidez","Split","BELL","29 - 28","CALDWELL","30 - 27","PUCCILLO","28 - 29"
"June 07, 2018","PFL 1: 2018 Season","Hulu Theater","New York, New York, USA","Harrison def. Tuerxun","Unanimous","Unknown","26NA","Unknown","27NA","Unknown","27NA"
"June 07, 2018","PFL 1: 2018 Season","Hulu Theater","New York, New York, USA","Valiev def. Coga","Unanimous","Unknown","27NA","Unknown","28NA","Unknown","27NA"
"June 07, 2018","PFL 1: 2018 Season","Hulu Theater","New York, New York, USA","Rosholt def. Istrefi","Unanimous","Unknown","26NA","Unknown","25NA","Unknown","28NA"
"June 07, 2018","PFL 1: 2018 Season","Hulu Theater","New York, New York, USA","Malegarie def. Galvão","Unanimous","Unknown","28NA","Unknown","28NA","Unknown","27NA"
"June 01, 2018","UFC Fight Night 131: Rivera vs. Moraes","Adirondack Bank Center","Utica, New York, USA","Alvey def. Villante","Split","COLÓN","29 - 28","CORRADO","28 - 29","TIRELLI","29 - 28"
"June 01, 2018","UFC Fight Night 131: Rivera vs. Moraes","Adirondack Bank Center","Utica, New York, USA","Eubanks def. Murphy","Unanimous","CLEARY","30 - 27","CROSBY","29 - 28","D'AMATO","30 - 27"
"June 01, 2018","UFC Fight Night 131: Rivera vs. Moraes","Adirondack Bank Center","Utica, New York, USA","Teymur def. Lentz","Unanimous","COLÓN","30 - 27","CORRADO","30 - 27","CROSBY","29 - 28"
"June 01, 2018","UFC Fight Night 131: Rivera vs. Moraes","Adirondack Bank Center","Utica, New York, USA","Muhammad def. Rencountre","Unanimous","CLEARY","30 - 27","D'AMATO","30 - 27","TIRELLI","30 - 27"
"June 01, 2018","UFC Fight Night 131: Rivera vs. Moraes","Adirondack Bank Center","Utica, New York, USA","Green def. Tibau","Unanimous","COLÓN","30 - 27","CORRADO","30 - 27","D'AMATO","29 - 27"
"May 27, 2018","UFC Fight Night 130: Thompson vs. Till","Echo Arena","Liverpool, England","Till def. Thompson","Unanimous","COLLETT","48 - 47","ROBERTS","49 - 46","SUTHERLAND","49 - 46"
"May 27, 2018","UFC Fight Night 130: Thompson vs. Till","Echo Arena","Liverpool, England","Amirkhani def. Knight","Split","COLLETT","29 - 28","HUGHES","29 - 28","ROBERTS","27 - 30"
"May 27, 2018","UFC Fight Night 130: Thompson vs. Till","Echo Arena","Liverpool, England","Lansberg def. Mazany","Unanimous","COLLETT","29 - 28","HUGHES","30 - 27","ROBERTS","30 - 27"
"May 27, 2018","UFC Fight Night 130: Thompson vs. Till","Echo Arena","Liverpool, England","Pedersoli Jr. def. Scott","Split","HUGHES","29 - 28","ROBERTS","29 - 28","SUTHERLAND","28 - 29"
"May 27, 2018","UFC Fight Night 130: Thompson vs. Till","Echo Arena","Liverpool, England","Theodorou def. Smith","Unanimous","CARTLIDGE","30 - 27","LETHABY","30 - 27","SUTHERLAND","29 - 28"
"May 25, 2018","Bellator 200: Carvalho vs. Mousasi","The SSE Arena, Wembley","London, England","Jackson def. Yankova","Unanimous","COLÓN","30 - 26","CROSBY","29 - 27","D'AMATO","30 - 26"
"May 25, 2018","Bellator 200: Carvalho vs. Mousasi","The SSE Arena, Wembley","London, England","Carvalho def. Crawford","Split","COLÓN","28 - 29","CROSBY","29 - 28","D'AMATO","29 - 28"
"May 19, 2018","UFC Fight Night 129: Maia vs. Usman","Movistar Arena","Santiago, Chile","Usman def. Maia","Unanimous","BRAVO","49 - 46","D'AMATO","49 - 46","LEE","50 - 45"
"May 19, 2018","UFC Fight Night 129: Maia vs. Usman","Movistar Arena","Santiago, Chile","Cannetti def. Rivas","Unanimous","ALVES","29 - 28","BERTRAND","29 - 28","LEE","29 - 28"
"May 19, 2018","UFC Fight Night 129: Maia vs. Usman","Movistar Arena","Santiago, Chile","Lee def. Macedo","Unanimous","BRAVO","30 - 27","D'AMATO","30 - 27","VILHENA","30 - 27"
"May 19, 2018","UFC Fight Night 129: Maia vs. Usman","Movistar Arena","Santiago, Chile","Prazeres def. Cummings","Split","ALVES","29 - 28","LEE","28 - 29","VILHENA","29 - 28"
"May 19, 2018","UFC Fight Night 129: Maia vs. Usman","Movistar Arena","Santiago, Chile","Pantoja def. Moreno","Unanimous","BERTRAND","29 - 27","LEE","30 - 26","VILHENA","30 - 26"
"May 19, 2018","UFC Fight Night 129: Maia vs. Usman","Movistar Arena","Santiago, Chile","Barzola def. Davis","Unanimous","BRAVO","30 - 26","LEE","30 - 26","VILHENA","30 - 27"
"May 19, 2018","UFC Fight Night 129: Maia vs. Usman","Movistar Arena","Santiago, Chile","Saenz def. Briones","Unanimous","ALVES","30 - 26","BERTRAND","30 - 27","D'AMATO","30 - 27"
"May 12, 2018","Bellator 199: Bader vs. King Mo","SAP Center","San Jose, California, USA","Okanovich def. Lujan","Unanimous","Unknown","27NA","Unknown","28NA","Unknown","27NA"
"May 12, 2018","Bellator 199: Bader vs. King Mo","SAP Center","San Jose, California, USA","Hernandez def. San Diego","Unanimous","Unknown","28NA","Unknown","27NA","Unknown","28NA"
"May 12, 2018","Bellator 199: Bader vs. King Mo","SAP Center","San Jose, California, USA","Fitch def. Daley","Unanimous","BELL","29 - 26","MCCARTHY","29 - 27","ROSALES","29 - 26"
"May 12, 2018","Bellator 199: Bader vs. King Mo","SAP Center","San Jose, California, USA","Leibrock def. Harding","Unanimous","BELL","30 - 27","SAUCEDO","30 - 26","VIERRA","30 - 26"
"May 12, 2018","Bellator 199: Bader vs. King Mo","SAP Center","San Jose, California, USA","Terry def. Mohammed","Unanimous","GUINGONA","30 - 26","MCCARTHY","30 - 26","ROSALES","30 - 26"
"May 12, 2018","UFC 224: Nunes vs. Pennington","Jeunesse Arena","Rio de Janeiro, Brazil","Gastelum def. Souza","Split","BRAVO","29 - 28","D'AMATO","28 - 29","LEE","29 - 28"
"May 12, 2018","UFC 224: Nunes vs. Pennington","Jeunesse Arena","Rio de Janeiro, Brazil","Emeev def. Mina","Unanimous","ALVES","30 - 27","CLEARY","30 - 27","D'AMATO","30 - 27"
"May 04, 2018","Invicta FC 29: Kaufman vs. Lehner","Scottish Rite Temple","Kansas City, Missouri, USA","Kianzad def. Daimoni","Unanimous","GUEARY","30 - 27","MARQUEZ","30 - 27","SWANBERG","30 - 27"
"May 04, 2018","Invicta FC 29: Kaufman vs. Lehner","Scottish Rite Temple","Kansas City, Missouri, USA","Tracy def. Muraski","Unanimous","GUEARY","29 - 28","MARQUEZ","30 - 27","SWANBERG","30 - 27"
"May 04, 2018","Invicta FC 29: Kaufman vs. Lehner","Scottish Rite Temple","Kansas City, Missouri, USA","Verzosa def. Kleczka","Unanimous","GUEARY","29 - 28","MARQUEZ","29 - 28","SWANBERG","29 - 28"
"May 04, 2018","Invicta FC 29: Kaufman vs. Lehner","Scottish Rite Temple","Kansas City, Missouri, USA","Chiasson def. Schmidt","Unanimous","GUEARY","30 - 27","MARQUEZ","30 - 27","SWANBERG","30 - 27"
"May 04, 2018","Invicta FC 29: Kaufman vs. Lehner","Scottish Rite Temple","Kansas City, Missouri, USA","Peralta def. Vlismas","Unanimous","GUEARY","29 - 28","MARQUEZ","29 - 28","SWANBERG","30 - 27"
"April 28, 2018","CWFC 93: Dalby vs Pedersoli Jr.","Lisebergshallen","Gothenburg, Sweden","Pedersoli Jr. def. Dalby","Split","AGNEBY","29 - 28","GRÜNER","29 - 27","OHLSSON","28 - 29"
"April 28, 2018","CWFC 93: Dalby vs Pedersoli Jr.","Lisebergshallen","Gothenburg, Sweden","Carlos def. Paraisy","Unanimous","AGNEBY","30 - 27","GRÜNER","30 - 27","GUSTAFSSON","29 - 28"
"April 28, 2018","CWFC 93: Dalby vs Pedersoli Jr.","Lisebergshallen","Gothenburg, Sweden","Grant def. Dakaev","Unanimous","AGNEBY","30 - 27","GUSTAFSSON","30 - 27","OHLSSON","30 - 26"
"April 28, 2018","CWFC 93: Dalby vs Pedersoli Jr.","Lisebergshallen","Gothenburg, Sweden","Hermansson def. Holm","Split","AGNEBY","28 - 29","GUSTAFSSON","29 - 28","OHLSSON","29 - 28"
"April 28, 2018","CWFC 93: Dalby vs Pedersoli Jr.","Lisebergshallen","Gothenburg, Sweden","Macedo def. Goodwin","Unanimous","AGNEBY","30 - 27","GUSTAFSSON","29 - 28","OHLSSON","30 - 27"
"April 28, 2018","CWFC 93: Dalby vs Pedersoli Jr.","Lisebergshallen","Gothenburg, Sweden","Franklin def. D'Ambrosio","Unanimous","GRÜNER","29 - 28","MITCHELL","29 - 28","OHLSSON","29 - 28"
"April 28, 2018","Bellator 198: Fedor vs. Mir","Allstate Arena","Rosemont, Illinois, USA","Umar def. Angeloff","Unanimous","Unknown","27NA","Unknown","26NA","Unknown","27NA"
"April 28, 2018","Bellator 198: Fedor vs. Mir","Allstate Arena","Rosemont, Illinois, USA","Morrow def. Maciejewski","Unanimous","Unknown","28NA","Unknown","28NA","Unknown","28NA"
"April 28, 2018","Bellator 198: Fedor vs. Mir","Allstate Arena","Rosemont, Illinois, USA","Benjilany def. Jackson","Unanimous","Unknown","27NA","Unknown","28NA","Unknown","28NA"
"April 28, 2018","Bellator 198: Fedor vs. Mir","Allstate Arena","Rosemont, Illinois, USA","Askar drew with Johnson","Majority","Unknown","28NA","Unknown","28NA","Unknown","28NA"
"April 28, 2018","Bellator 198: Fedor vs. Mir","Allstate Arena","Rosemont, Illinois, USA","Cameron def. Cajigas","Unanimous","Unknown","28NA","Unknown","27NA","Unknown","28NA"
"April 21, 2018","UFC Fight Night 128: Barboza vs. Lee","Boardwalk Hall","Atlantic City, New Jersey, USA","Edgar def. Swanson","Unanimous","CLEARY","30 - 27","COLÓN","30 - 27","URSO","30 - 27"
"April 21, 2018","UFC Fight Night 128: Barboza vs. Lee","Boardwalk Hall","Atlantic City, New Jersey, USA","Willis def. Sherman","Unanimous","BILYK","29 - 28","CAROLEI","29 - 28","HOLLAND","29 - 28"
"April 21, 2018","UFC Fight Night 128: Barboza vs. Lee","Boardwalk Hall","Atlantic City, New Jersey, USA","Sterling def. Johns","Unanimous","CLEARY","30 - 27","TIRELLI","30 - 27","URSO","30 - 27"
"April 21, 2018","UFC Fight Night 128: Barboza vs. Lee","Boardwalk Hall","Atlantic City, New Jersey, USA","LaFlare def. Garcia","Unanimous","BILYK","30 - 27","CAROLEI","30 - 27","URSO","30 - 27"
"April 21, 2018","UFC Fight Night 128: Barboza vs. Lee","Boardwalk Hall","Atlantic City, New Jersey, USA","Anderson def. Cummins","Unanimous","BILYK","30 - 26","CAROLEI","30 - 26","URSO","30 - 27"
"April 21, 2018","UFC Fight Night 128: Barboza vs. Lee","Boardwalk Hall","Atlantic City, New Jersey, USA","Martin def. Nakamura","Unanimous","BILYK","30 - 27","HOLLAND","30 - 27","TIRELLI","30 - 27"
"April 14, 2018","UFC on Fox 29: Poirier vs. Gaethje","Gila River Arena","Glendale, Arizona, USA","Adesanya def. Vettori","Split","CLEARY","29 - 28","HAYES","29 - 28","LEE","28 - 29"
"April 14, 2018","UFC on Fox 29: Poirier vs. Gaethje","Gila River Arena","Glendale, Arizona, USA","Waterson-Gomez def. Casey","Split","D'AMATO","28 - 29","FLORES","29 - 28","HAGEN","29 - 28"
"April 14, 2018","UFC on Fox 29: Poirier vs. Gaethje","Gila River Arena","Glendale, Arizona, USA","Moraga def. Reis","Unanimous","D'AMATO","29 - 28","FLORES","29 - 28","LEE","29 - 28"
"April 14, 2018","UFC on Fox 29: Poirier vs. Gaethje","Gila River Arena","Glendale, Arizona, USA","Mueller def. Dobson","Unanimous","CLEARY","29 - 28","FLORES","29 - 28","HAGEN","29 - 28"
"April 14, 2018","UFC on Fox 29: Poirier vs. Gaethje","Gila River Arena","Glendale, Arizona, USA","Okami def. Lima","Unanimous","D'AMATO","30 - 26","FRANK","30 - 26","LEE","30 - 26"
"April 14, 2018","UFC on Fox 29: Poirier vs. Gaethje","Gila River Arena","Glendale, Arizona, USA","Sanders def. Williams","Unanimous","CLEARY","29 - 28","FRANK","30 - 27","LEE","30 - 27"
"April 14, 2018","KSW 43: Soldic vs. Du Plessis","Centennial Hall","Wrocław, Poland","Parnasse def. Sowinski","Unanimous","BONKOWSKI","30 - 27","NOVAK","30 - 27","WOJCIECHOWSKI","30 - 27"
"April 14, 2018","KSW 43: Soldic vs. Du Plessis","Centennial Hall","Wrocław, Poland","Parke def. Chlewicki","Unanimous","CARTLIDGE","30 - 26","GRÜNER","30 - 26","POREBSKI","30 - 25"
"April 14, 2018","KSW 43: Soldic vs. Du Plessis","Centennial Hall","Wrocław, Poland","Racic def. Selwa","Unanimous","BONKOWSKI","29 - 28","KLOC","30 - 27","POREBSKI","30 - 27"
"April 14, 2018","KSW 43: Soldic vs. Du Plessis","Centennial Hall","Wrocław, Poland","Kazieczko def. Kalicinski","Unanimous","CARTLIDGE","30 - 27","KLOC","30 - 27","WOJCIECHOWSKI","30 - 27"
"April 13, 2018","Bellator 197: Chandler vs. Girtz","Family Arena","St. Charles, Missouri, USA","McKee def. Lawrence","Unanimous","D'AMATO","30 - 27","Unknown","27NA","Unknown","27NA"
"April 13, 2018","Bellator 197: Chandler vs. Girtz","Family Arena","St. Charles, Missouri, USA","Storley def. Buckley","Unanimous","D'AMATO","30 - 26","FRANCIS","30 - 27","LEE","30 - 26"
"April 13, 2018","Bellator 197: Chandler vs. Girtz","Family Arena","St. Charles, Missouri, USA","Anderson def. Bucia","Unanimous","BUESKING","30 - 27","D'AMATO","30 - 27","LEE","30 - 27"
"April 13, 2018","Bellator 197: Chandler vs. Girtz","Family Arena","St. Charles, Missouri, USA","Mazzotta def. Sampo","Unanimous","Unknown","27NA","Unknown","27NA","Unknown","27NA"
"April 13, 2018","Bellator 197: Chandler vs. Girtz","Family Arena","St. Charles, Missouri, USA","Ellington def. Howard","Split","Unknown","28NA","Unknown","29NA","Unknown","28NA"
"April 07, 2018","UFC 223: Khabib vs. Iaquinta","Barclays Center","Brooklyn, New York, USA","Nurmagomedov def. Iaquinta","Unanimous","CLEARY","50 - 44","D'AMATO","50 - 43","LEE","50 - 43"
"April 07, 2018","UFC 223: Khabib vs. Iaquinta","Barclays Center","Brooklyn, New York, USA","Namajunas def. Jedrzejczyk","Unanimous","LEE","49 - 46","TIRELLI","49 - 46","TROWBRIDGE","49 - 46"
"April 07, 2018","UFC 223: Khabib vs. Iaquinta","Barclays Center","Brooklyn, New York, USA","Moicano def. Kattar","Unanimous","D'AMATO","29 - 28","TIRELLI","30 - 27","TROWBRIDGE","30 - 27"
"April 07, 2018","UFC 223: Khabib vs. Iaquinta","Barclays Center","Brooklyn, New York, USA","Magomedsharipov def. Bochniak","Unanimous","CLEARY","30 - 27","LEE","30 - 27","TROWBRIDGE","29 - 28"
"April 07, 2018","UFC 223: Khabib vs. Iaquinta","Barclays Center","Brooklyn, New York, USA","Kowalkiewicz def. Herrig","Split","CLEARY","29 - 28","D'AMATO","29 - 28","LEE","28 - 29"
"April 07, 2018","UFC 223: Khabib vs. Iaquinta","Barclays Center","Brooklyn, New York, USA","Evans-Smith def. Rawlings","Unanimous","BRUCE","30 - 27","LEE","30 - 27","TIRELLI","30 - 27"
"April 07, 2018","UFC 223: Khabib vs. Iaquinta","Barclays Center","Brooklyn, New York, USA","Clark def. Rodriguez","Unanimous","CLEARY","30 - 27","D'AMATO","30 - 27","TROWBRIDGE","29 - 28"
"April 06, 2018","Bellator 196: Henderson vs. Huerta","Budapest Sports Arena","Budapest, Hungary","Kielholtz def. Castkova","Unanimous","COLÓN","30 - 27","CROSBY","30 - 27","MINER","30 - 27"
"April 06, 2018","Bellator 196: Henderson vs. Huerta","Budapest Sports Arena","Budapest, Hungary","Ruth def. Pascu","Unanimous","COLÓN","30 - 27","CROSBY","29 - 28","MINER","30 - 27"
"March 24, 2018","Invicta FC 28: Mizuki vs. Jandiroba","Union Event Center","Salt Lake City, Utah, USA","Jandiroba def. Inoue","Split","FURSE","49 - 46","MONTANEZ","49 - 46","MONTANEZ","46 - 49"
"March 24, 2018","Invicta FC 28: Mizuki vs. Jandiroba","Union Event Center","Salt Lake City, Utah, USA","Bennett def. Rodriguez","Split","FURSE","30 - 27","MONTANEZ","30 - 27","MONTANEZ","27 - 30"
"March 24, 2018","Invicta FC 28: Mizuki vs. Jandiroba","Union Event Center","Salt Lake City, Utah, USA","Gonzalez def. Robbins","Unanimous","DUTCHER","30 - 27","FURSE","30 - 26","MONTANEZ","30 - 27"
"March 24, 2018","Invicta FC 28: Mizuki vs. Jandiroba","Union Event Center","Salt Lake City, Utah, USA","Kenneson def. Chandler","Unanimous","DUTCHER","30 - 27","FURSE","30 - 27","MONTANEZ","30 - 27"
"March 24, 2018","Invicta FC 28: Mizuki vs. Jandiroba","Union Event Center","Salt Lake City, Utah, USA","DeCoursey def. LeVine","Unanimous","DUTCHER","30 - 27","FURSE","30 - 27","MONTANEZ","30 - 27"
"March 24, 2018","Invicta FC 28: Mizuki vs. Jandiroba","Union Event Center","Salt Lake City, Utah, USA","Cortez def. Neil","Unanimous","DUTCHER","30 - 27","FURSE","30 - 27","MONTANEZ","30 - 27"
"March 24, 2018","CWFC 92: Super Saturday","Indigo at the O2","London, England","Shore def. Lee","Unanimous","CARTLIDGE","29 - 28","COLLETT","30 - 27","LETHABY","30 - 27"
"March 24, 2018","CWFC 92: Super Saturday","Indigo at the O2","London, England","Trueman def. Eaton","Unanimous","CARTLIDGE","29 - 27","COLLETT","30 - 27","LETHABY","29 - 28"
"March 24, 2018","CWFC 92: Super Saturday","Indigo at the O2","London, England","Boult def. Richardson","Unanimous","CARTLIDGE","30 - 27","COLLETT","30 - 27","LETHABY","30 - 27"
"March 24, 2018","CWFC 92: Super Saturday","Indigo at the O2","London, England","Lee def. Mearns","Unanimous","CARTLIDGE","29 - 28","COLLETT","29 - 28","LETHABY","29 - 28"
"March 17, 2018","UFC Fight Night 127: Werdum vs. Volkov","The O2 Arena","London, England","Blachowicz def. Manuwa","Unanimous","HUGHES","29 - 28","LETHABY","30 - 27","MOTYLEWSKI","29 - 28"
"March 17, 2018","UFC Fight Night 127: Werdum vs. Volkov","The O2 Arena","London, England","Duquesnoy def. Ware","Unanimous","CARTLIDGE","30 - 27","LETHABY","29 - 28","MOTYLEWSKI","29 - 28"
"March 17, 2018","UFC Fight Night 127: Werdum vs. Volkov","The O2 Arena","London, England","Johnson def. Ray","Split","LETHABY","29 - 28","ROBERTS","29 - 28","SUTHERLAND","28 - 29"
"March 03, 2018","UFC 222: Cyborg vs. Kunitskaya","T-Mobile Arena","Las Vegas, Nevada, USA","O'Malley def. Soukhamthath","Unanimous","D'AMATO","29 - 28","KAMIJO","29 - 27","LEE","29 - 27"
"March 03, 2018","UFC 222: Cyborg vs. Kunitskaya","T-Mobile Arena","Las Vegas, Nevada, USA","Arlovski def. Struve","Unanimous","CLEARY","29 - 28","TROWBRIDGE","30 - 27","WEEKS","29 - 28"
"March 03, 2018","UFC 222: Cyborg vs. Kunitskaya","T-Mobile Arena","Las Vegas, Nevada, USA","Vieira def. Zingano","Split","D'AMATO","29 - 28","HAGEN","29 - 28","ROSALES","28 - 29"
"March 03, 2018","UFC 222: Cyborg vs. Kunitskaya","T-Mobile Arena","Las Vegas, Nevada, USA","Dern def. Yoder","Split","BYRD","28 - 29","CLEARY","29 - 28","KAMIJO","29 - 28"
"March 03, 2018","UFC 222: Cyborg vs. Kunitskaya","T-Mobile Arena","Las Vegas, Nevada, USA","Dodson def. Munhoz","Split","BYRD","30 - 27","D'AMATO","28 - 29","TROWBRIDGE","29 - 28"
"March 03, 2018","UFC 222: Cyborg vs. Kunitskaya","T-Mobile Arena","Las Vegas, Nevada, USA","Stamann def. Caraway","Split","BYRD","29 - 28","D'AMATO","29 - 28","TROWBRIDGE","28 - 29"
"March 03, 2018","UFC 222: Cyborg vs. Kunitskaya","T-Mobile Arena","Las Vegas, Nevada, USA","Johnson def. Milstead","Split","LEE","29 - 28","ROSALES","27 - 30","WEEKS","29 - 28"
"March 03, 2018","KSW 42: Khalidov vs. Narkun","Atlas Arena","Lodz, Poland","Lipski def. Gomez Juarez","Unanimous","MOTYLEWSKI","49 - 46","NOVAK","49 - 46","PAWLEGA","49 - 46"
"March 03, 2018","KSW 42: Khalidov vs. Narkun","Atlas Arena","Lodz, Poland","Wolanski def. Kopera","Unanimous","LETHABY","30 - 27","MOTYLEWSKI","30 - 26","NOVAK","30 - 27"
"March 03, 2018","CWFC 91: Reed vs. Bouland","Newport Centre","Newport, Wales","Houston def. Khalid","Unanimous","COLLETT","30 - 25","JOHNSON","30 - 26","MITCHELL","30 - 27"
"March 03, 2018","CWFC 91: Reed vs. Bouland","Newport Centre","Newport, Wales","Malone def. Jenkins","Unanimous","COLLETT","30 - 26","JOHNSON","30 - 27","MITCHELL","30 - 27"
"March 02, 2018","Bellator 195: Caldwell vs. Higo","WinStar World Casino","Thackerville, Oklahoma, USA","Taimanglo def. Warren","Split","BELL","30 - 27","MATHISEN","28 - 29","SUTHERLAND","30 - 27"
"March 02, 2018","Bellator 195: Caldwell vs. Higo","WinStar World Casino","Thackerville, Oklahoma, USA","Williams def. Ducote","Split","BELL","29 - 28","COLÓN","27 - 30","MATHISEN","29 - 28"
"March 02, 2018","Bellator 195: Caldwell vs. Higo","WinStar World Casino","Thackerville, Oklahoma, USA","Archuleta def. Joplin","Unanimous","COLÓN","30 - 24","MATHISEN","30 - 23","SUTHERLAND","30 - 26"
"March 02, 2018","Bellator 195: Caldwell vs. Higo","WinStar World Casino","Thackerville, Oklahoma, USA","Carey def. Lencioni","Unanimous","BELL","29 - 28","MATHISEN","29 - 28","SUTHERLAND","29 - 28"
"February 24, 2018","UFC on Fox 28: Emmett vs. Stephens","Amway Center","Orlando, Florida, USA","Andrade def. Torres","Unanimous","COLÓN","29 - 27","TIRELLI","29 - 28","VANNATTA","29 - 28"
"February 24, 2018","UFC on Fox 28: Emmett vs. Stephens","Amway Center","Orlando, Florida, USA","Griffin def. Perry","Unanimous","COLÓN","30 - 27","LEE","29 - 27","TIRELLI","29 - 27"
"February 24, 2018","UFC on Fox 28: Emmett vs. Stephens","Amway Center","Orlando, Florida, USA","Kelleher def. Barão","Unanimous","BERTRAND","30 - 27","GOMEZ","30 - 27","VANNATTA","29 - 28"
"February 24, 2018","UFC on Fox 28: Emmett vs. Stephens","Amway Center","Orlando, Florida, USA","Hill def. Moroz","Unanimous","COLÓN","30 - 27","LEE","30 - 27","TIRELLI","30 - 27"
"February 24, 2018","UFC on Fox 28: Emmett vs. Stephens","Amway Center","Orlando, Florida, USA","Perez def. Shelton","Unanimous","BERTRAND","30 - 27","SILBERT","30 - 27","TIRELLI","30 - 27"
"February 24, 2018","CWFC 90: McCann vs. Tyrell","Echo Arena","Liverpool, England","Tricomitis def. Kinsella","Split","CARTLIDGE","28 - 29","COLLETT","30 - 27","LETHABY","29 - 28"
"February 18, 2018","UFC Fight Night 126: Cowboy vs. Medeiros","Frank Erwin Center","Austin, Texas, USA","Vick def. Trinaldo","Unanimous","LEE","29 - 28","ROSALES","29 - 28","WRIGHT","29 - 28"
"February 18, 2018","UFC Fight Night 126: Cowboy vs. Medeiros","Frank Erwin Center","Austin, Texas, USA","Davis def. Peterson","Unanimous","ROSALES","30 - 27","TOWNSEND","30 - 26","WRIGHT","29 - 28"
"February 18, 2018","UFC Fight Night 126: Cowboy vs. Medeiros","Frank Erwin Center","Austin, Texas, USA","Northcutt def. Gouti","Unanimous","LEE","29 - 28","ROSALES","29 - 28","STAFIN","29 - 28"
"February 18, 2018","UFC Fight Night 126: Cowboy vs. Medeiros","Frank Erwin Center","Austin, Texas, USA","Pudilova def. Moras","Unanimous","CARDENAS","29 - 28","STAFIN","29 - 28","TOWNSEND","29 - 27"
"February 16, 2018","Bellator 194: Mitrione vs. Nelson 2","Mohegan Sun Arena","Uncasville, Connecticut, USA","Mitrione def. Nelson","Majority","COLÓN","29 - 28","PEABODY","29 - 28","TIRELLI","28 - 28"
"February 16, 2018","Bellator 194: Mitrione vs. Nelson 2","Mohegan Sun Arena","Uncasville, Connecticut, USA","Hardy def. Julaton","Unanimous","CROSBY","30 - 27","MINER","30 - 27","PEABODY","29 - 28"
"February 16, 2018","Bellator 194: Mitrione vs. Nelson 2","Mohegan Sun Arena","Uncasville, Connecticut, USA","Trice def. Howard","Majority","COLÓN","28 - 28","PEABODY","29 - 27","TIRELLI","29 - 27"
"February 16, 2018","Bellator 194: Mitrione vs. Nelson 2","Mohegan Sun Arena","Uncasville, Connecticut, USA","Casey def. Hamilton","Unanimous","COLÓN","30 - 27","Unknown","27NA","Unknown","27NA"
"February 10, 2018","UFC 221: Romero vs. Rockhold","Perth Arena","Perth, Australia","Blaydes def. Hunt","Unanimous","BOOTH","29 - 27","FIELD","30 - 26","METCALF","30 - 26"
"February 10, 2018","UFC 221: Romero vs. Rockhold","Perth Arena","Perth, Australia","Matthews def. Jingliang","Unanimous","BOOTH","30 - 26","FOLEY","30 - 26","METCALF","29 - 28"
"February 10, 2018","UFC 221: Romero vs. Rockhold","Perth Arena","Perth, Australia","Ma def. Brown","Split","FIELD","29 - 28","FOLEY","28 - 29","METCALF","29 - 28"
"February 10, 2018","UFC 221: Romero vs. Rockhold","Perth Arena","Perth, Australia","Pearson def. Hirota","Unanimous","BOOTH","29 - 28","FIELD","30 - 27","KEECH","30 - 27"
"February 10, 2018","UFC 221: Romero vs. Rockhold","Perth Arena","Perth, Australia","Quinonez def. Ishihara","Unanimous","BOOTH","30 - 27","COLLETT","29 - 28","FOLEY","29 - 28"
"February 10, 2018","UFC 221: Romero vs. Rockhold","Perth Arena","Perth, Australia","Jumeau def. Abe","Unanimous","DIMITRIOU","29 - 27","KEECH","28 - 27","METCALF","29 - 28"
"February 03, 2018","UFC Fight Night 125: Machida vs. Anders","Arena Guilherme Paraense","Belém, Brazil","Machida def. Anders","Split","BRAVO","48 - 47","ROSALES","47 - 48","WEEKS","49 - 46"
"February 03, 2018","UFC Fight Night 125: Machida vs. Anders","Arena Guilherme Paraense","Belém, Brazil","Prazeres def. Green","Unanimous","BRAVO","30 - 27","IORIO","29 - 28","WEEKS","29 - 28"
"February 03, 2018","UFC Fight Night 125: Machida vs. Anders","Arena Guilherme Paraense","Belém, Brazil","Johnson def. Golm","Unanimous","IORIO","30 - 27","ROSALES","29 - 28","TERRELL","29 - 28"
"February 03, 2018","UFC Fight Night 125: Machida vs. Anders","Arena Guilherme Paraense","Belém, Brazil","Silva de Andrade def. Vera","Unanimous","BRAVO","30 - 27","TERRELL","30 - 27","WEEKS","30 - 27"
"February 03, 2018","UFC Fight Night 125: Machida vs. Anders","Arena Guilherme Paraense","Belém, Brazil","Moraes def. Means","Split","IORIO","29 - 28","ROSALES","28 - 29","WEEKS","29 - 28"
"February 03, 2018","UFC Fight Night 125: Machida vs. Anders","Arena Guilherme Paraense","Belém, Brazil","Patrick def. Hadzovic","Unanimous","BRAVO","30 - 25","IORIO","30 - 27","TERRELL","30 - 27"
"January 27, 2018","UFC on Fox 27: Jacaré vs. Brunson 2","Spectrum Center","Charlotte, North Carolina, USA","Fili def. Bermudez","Split","CLAUDIO","29 - 28","CLEARY","29 - 28","ELLIOTT","27 - 30"
