player,year,greens,holes,cut
Cam Davis,2020,392,477,Fairway
Cam Davis,2020,15,36,Bunker
Cameron Champ,2020,206,394,Other
Cameron Champ,2020,455,554,Fairway
Cameron Champ,2020,14,35,Bunker
Cameron Percy,2020,133,226,Other
Cameron Percy,2020,296,373,Fairway
Cameron Percy,2020,18,31,Bunker
Cameron Smith,2020,184,349,Other
Cameron Smith,2020,389,488,Fairway
Cameron Smith,2020,27,59,Bunker
Cameron Tringale,2020,223,358,Other
Cameron Tringale,2020,386,476,Fairway
Cameron Tringale,2020,16,47,Bunker
Carlos Ortiz,2020,232,397,Other
Carlos Ortiz,2020,437,558,Fairway
Carlos Ortiz,2020,24,53,Bunker
Charles Howell III,2020,199,389,Other
Charles Howell III,2020,448,525,Fairway
Charles Howell III,2020,26,48,Bunker
Charley Hoffman,2020,165,287,Other
Charley Hoffman,2020,379,469,Fairway
Charley Hoffman,2020,37,69,Bunker
Chase Seiffert,2020,144,254,Other
Chase Seiffert,2020,353,472,Fairway
Chase Seiffert,2020,19,29,Bunker
Chesson Hadley,2020,147,250,Other
Chesson Hadley,2020,426,541,Fairway
Chesson Hadley,2020,7,20,Bunker
Chez Reavie,2020,149,283,Other
Chez Reavie,2020,558,751,Fairway
